fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion
2012-04-01 00:00:00,Charagua SC (GPRS),16.0,0.1,30.92,68.03,0.0
2012-04-01 00:00:00,Chimeo-Villa Montes (GPRS),14.0,0.41,26.34,60.62,0.0
2012-04-01 00:00:00,Cochabamba,7.0,3.0,13.0,81.0,
2012-04-01 00:00:00,Colcha-K (GPRS),14.0,5.51,6.81,57.15,0.0
2012-04-01 00:00:00,Cuevo (GPRS),14.0,8.75,25.42,53.39,0.0
2012-04-01 00:00:00,El Alto,16.0,4.0,5.0,86.0,
2012-04-01 00:00:00,Gutierrez (GPRS),11.0,0.28,23.28,69.39,0.0
2012-04-01 00:00:00,Kocani (GPRS),7.0,4.34,5.58,80.12,0.0
2012-04-01 00:00:00,Muyupampa (GPRS),9.0,1.21,22.58,75.84,0.0
2012-04-01 00:00:00,Oruro (Satelital),,,12.0,33.0,
2012-04-01 00:00:00,PotosÃ­ (Satelital),,,10.0,58.0,
2012-04-01 00:00:00,Salinas de Garci M.(Satelital),,,12.0,47.0,
2012-04-01 00:00:00,San Javier (GPRS),13.0,1.44,25.81,94.35,0.0
2012-04-01 00:00:00,Viru Viru,14.0,2.0,25.0,83.0,
2012-04-01 00:15:00,Charagua SC (GPRS),1.0,0.1,30.91,67.8,0.0
2012-04-01 00:15:00,Chimeo-Villa Montes (GPRS),14.0,0.72,26.26,61.55,0.0
2012-04-01 00:15:00,Colcha-K (GPRS),13.0,4.61,6.29,59.44,0.0
2012-04-01 00:15:00,Cuevo (GPRS),14.0,5.59,25.24,54.28,0.0
2012-04-01 00:15:00,Gutierrez (GPRS),9.0,0.24,23.64,67.43,0.0
2012-04-01 00:15:00,Kocani (GPRS),6.0,5.72,5.11,83.04,0.0
2012-04-01 00:15:00,Muyupampa (GPRS),12.0,1.05,22.53,76.66,0.0
2012-04-01 00:15:00,San Javier (GPRS),13.0,1.44,25.81,94.35,0.0
2012-04-01 00:30:00,Charagua SC (GPRS),16.0,0.1,30.43,73.44,0.0
2012-04-01 00:30:00,Chimeo-Villa Montes (GPRS),14.0,0.12,25.91,62.87,0.0
