estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos
Apolo Chupiluzani,2025-06-02 06:00:00,2,0.0,16,95,1
Apolo Chupiluzani,2025-06-02 06:00:00,5,0.0,19,80,1
Apolo Chupiluzani,2025-06-02 06:00:00,8,0.0,24,64,2
Apolo Chupiluzani,2025-06-02 06:00:00,11,0.0,24,80,1
Apolo Chupiluzani,2025-06-02 06:00:00,14,0.0,18,95,1
Apolo Chupiluzani,2025-06-02 06:00:00,17,0.0,16,96,1
Apolo Chupiluzani,2025-06-02 06:00:00,20,0.0,13,96,1
Apolo Chupiluzani,2025-06-02 06:00:00,23,0.0,13,96,1
Apolo Chupiluzani,2025-06-02 06:00:00,26,0.0,16,94,1
Apolo Chupiluzani,2025-06-02 06:00:00,29,0.0,19,79,1
Apolo Chupiluzani,2025-06-02 06:00:00,32,0.0,25,64,2
Apolo Chupiluzani,2025-06-02 06:00:00,35,0.0,25,77,2
Apolo Chupiluzani,2025-06-02 06:00:00,38,0.0,19,91,1
Apolo Chupiluzani,2025-06-02 06:00:00,41,0.0,17,94,1
Apolo Chupiluzani,2025-06-02 06:00:00,44,0.0,14,97,1
Apolo Chupiluzani,2025-06-02 06:00:00,47,0.0,14,94,1
Apolo Chupiluzani,2025-06-02 06:00:00,50,0.0,17,91,1
Apolo Chupiluzani,2025-06-02 06:00:00,53,0.0,21,69,2
Apolo Chupiluzani,2025-06-02 06:00:00,56,0.0,26,47,2
Apolo Chupiluzani,2025-06-02 06:00:00,59,0.0,26,66,2
Apolo Chupiluzani,2025-06-02 06:00:00,62,2.5,20,84,1
Apolo Chupiluzani,2025-06-02 06:00:00,65,1.8,19,90,1
Apolo Chupiluzani,2025-06-02 06:00:00,68,0.0,13,96,1
Apolo Chupiluzani,2025-06-02 06:00:00,71,0.0,13,92,1
Apolo Chupiluzani,2025-06-02 06:00:00,74,0.0,18,87,1
Apolo Chupiluzani,2025-06-02 06:00:00,77,0.0,20,74,2
Apolo Chupiluzani,2025-06-02 06:00:00,80,0.0,25,61,2
Apolo Chupiluzani,2025-06-02 06:00:00,83,0.0,25,73,2
Apolo Chupiluzani,2025-06-02 06:00:00,86,0.0,19,85,1
Apolo Chupiluzani,2025-06-02 06:00:00,89,0.0,14,87,1
Apolo Chupiluzani,2025-06-02 06:00:00,92,0.0,14,89,1
Ascencion de Guarayos,2025-06-02 06:00:00,2,0.0,20,73,1
Ascencion de Guarayos,2025-06-02 06:00:00,5,0.0,23,58,1
Ascencion de Guarayos,2025-06-02 06:00:00,8,0.0,27,44,2
Ascencion de Guarayos,2025-06-02 06:00:00,11,0.0,27,61,1
Ascencion de Guarayos,2025-06-02 06:00:00,14,0.0,22,78,1
Ascencion de Guarayos,2025-06-02 06:00:00,17,0.0,20,83,1
Ascencion de Guarayos,2025-06-02 06:00:00,20,0.0,17,89,1
Ascencion de Guarayos,2025-06-02 06:00:00,23,0.0,17,84,0
Ascencion de Guarayos,2025-06-02 06:00:00,26,0.0,21,78,0
Ascencion de Guarayos,2025-06-02 06:00:00,29,0.0,24,60,1
Ascencion de Guarayos,2025-06-02 06:00:00,32,0.0,28,41,2
Ascencion de Guarayos,2025-06-02 06:00:00,35,0.0,28,59,2
Ascencion de Guarayos,2025-06-02 06:00:00,38,0.0,25,76,1
Ascencion de Guarayos,2025-06-02 06:00:00,41,0.0,22,82,1
Ascencion de Guarayos,2025-06-02 06:00:00,44,0.0,18,88,0
Ascencion de Guarayos,2025-06-02 06:00:00,47,0.0,18,83,1
Ascencion de Guarayos,2025-06-02 06:00:00,50,0.0,22,77,1
Ascencion de Guarayos,2025-06-02 06:00:00,53,0.0,26,59,2
Ascencion de Guarayos,2025-06-02 06:00:00,56,0.0,29,40,3
Ascencion de Guarayos,2025-06-02 06:00:00,59,0.0,29,58,2
Ascencion de Guarayos,2025-06-02 06:00:00,62,0.0,24,77,1
Ascencion de Guarayos,2025-06-02 06:00:00,65,0.0,22,83,1
Ascencion de Guarayos,2025-06-02 06:00:00,68,0.0,19,90,1
Ascencion de Guarayos,2025-06-02 06:00:00,71,0.0,19,78,1
Ascencion de Guarayos,2025-06-02 06:00:00,74,0.0,24,76,1
Ascencion de Guarayos,2025-06-02 06:00:00,77,0.0,27,56,2
Ascencion de Guarayos,2025-06-02 06:00:00,80,0.0,31,36,3
Ascencion de Guarayos,2025-06-02 06:00:00,83,0.0,31,54,2
Ascencion de Guarayos,2025-06-02 06:00:00,86,0.0,24,71,1
Ascencion de Guarayos,2025-06-02 06:00:00,89,0.0,20,77,1
Ascencion de Guarayos,2025-06-02 06:00:00,92,0.0,20,84,1
Baures,2025-06-02 06:00:00,2,0.0,21,83,2
Baures,2025-06-02 06:00:00,5,0.0,25,69,2
Baures,2025-06-02 06:00:00,8,0.0,29,56,2
Baures,2025-06-02 06:00:00,11,0.0,29,69,2
Baures,2025-06-02 06:00:00,14,0.0,25,82,2
Baures,2025-06-02 06:00:00,17,0.0,22,85,2
Baures,2025-06-02 06:00:00,20,0.0,20,87,1
Baures,2025-06-02 06:00:00,23,0.0,20,82,1
Baures,2025-06-02 06:00:00,26,0.0,23,79,1
Baures,2025-06-02 06:00:00,29,0.0,27,65,1
Baures,2025-06-02 06:00:00,32,0.0,30,51,2
Baures,2025-06-02 06:00:00,35,0.0,30,61,2
Baures,2025-06-02 06:00:00,38,0.0,26,71,2
Baures,2025-06-02 06:00:00,41,0.0,24,76,1
Baures,2025-06-02 06:00:00,44,0.0,21,82,1
Baures,2025-06-02 06:00:00,47,0.0,21,78,1
Baures,2025-06-02 06:00:00,50,0.0,25,77,2
Baures,2025-06-02 06:00:00,53,0.0,29,64,2
Baures,2025-06-02 06:00:00,56,0.0,31,51,3
Baures,2025-06-02 06:00:00,59,0.0,31,60,3
Baures,2025-06-02 06:00:00,62,0.0,27,69,2
Baures,2025-06-02 06:00:00,65,0.0,24,76,2
Baures,2025-06-02 06:00:00,68,0.0,20,83,1
Baures,2025-06-02 06:00:00,71,0.0,20,78,1
Baures,2025-06-02 06:00:00,74,0.0,25,78,2
Baures,2025-06-02 06:00:00,77,0.0,29,64,2
Baures,2025-06-02 06:00:00,80,0.0,32,50,2
Baures,2025-06-02 06:00:00,83,0.0,32,61,2
Baures,2025-06-02 06:00:00,86,0.0,27,71,1
Baures,2025-06-02 06:00:00,89,0.0,21,79,1
Baures,2025-06-02 06:00:00,92,0.0,21,87,1
Bulo Bulo,2025-06-02 06:00:00,2,0.0,17,83,0
Bulo Bulo,2025-06-02 06:00:00,5,0.0,22,67,2
Bulo Bulo,2025-06-02 06:00:00,8,0.0,26,51,3
Bulo Bulo,2025-06-02 06:00:00,11,0.0,26,70,2
Bulo Bulo,2025-06-02 06:00:00,14,0.0,20,89,1
Bulo Bulo,2025-06-02 06:00:00,17,0.0,19,91,1
Bulo Bulo,2025-06-02 06:00:00,20,0.0,14,93,1
Bulo Bulo,2025-06-02 06:00:00,23,0.0,14,84,1
Bulo Bulo,2025-06-02 06:00:00,26,0.0,21,82,1
Bulo Bulo,2025-06-02 06:00:00,29,0.0,25,66,2
Bulo Bulo,2025-06-02 06:00:00,32,0.0,28,51,4
Bulo Bulo,2025-06-02 06:00:00,35,0.0,28,66,2
Bulo Bulo,2025-06-02 06:00:00,38,0.0,23,81,1
Bulo Bulo,2025-06-02 06:00:00,41,0.0,22,83,1
Bulo Bulo,2025-06-02 06:00:00,44,0.0,15,86,1
Bulo Bulo,2025-06-02 06:00:00,47,0.0,15,86,1
Bulo Bulo,2025-06-02 06:00:00,50,0.0,21,83,1
Bulo Bulo,2025-06-02 06:00:00,53,0.0,26,66,3
Bulo Bulo,2025-06-02 06:00:00,56,0.0,29,48,4
Bulo Bulo,2025-06-02 06:00:00,59,0.0,29,62,3
Bulo Bulo,2025-06-02 06:00:00,62,0.0,23,77,1
Bulo Bulo,2025-06-02 06:00:00,65,0.0,17,81,1
Bulo Bulo,2025-06-02 06:00:00,68,0.0,14,85,1
Bulo Bulo,2025-06-02 06:00:00,71,0.0,14,81,1
Bulo Bulo,2025-06-02 06:00:00,74,0.0,22,80,1
Bulo Bulo,2025-06-02 06:00:00,77,0.0,23,63,2
Bulo Bulo,2025-06-02 06:00:00,80,0.0,28,45,3
Bulo Bulo,2025-06-02 06:00:00,83,0.0,28,60,2
Bulo Bulo,2025-06-02 06:00:00,86,0.0,23,75,1
Bulo Bulo,2025-06-02 06:00:00,89,0.0,15,85,1
Bulo Bulo,2025-06-02 06:00:00,92,0.0,15,95,1
Camargo,2025-06-02 06:00:00,2,0.0,7,16,3
Camargo,2025-06-02 06:00:00,5,0.0,11,12,3
Camargo,2025-06-02 06:00:00,8,0.0,20,8,3
Camargo,2025-06-02 06:00:00,11,0.0,20,11,2
Camargo,2025-06-02 06:00:00,14,0.0,12,15,2
Camargo,2025-06-02 06:00:00,17,0.0,8,14,2
Camargo,2025-06-02 06:00:00,20,0.0,3,12,3
Camargo,2025-06-02 06:00:00,23,0.0,3,16,3
Camargo,2025-06-02 06:00:00,26,0.0,7,18,3
Camargo,2025-06-02 06:00:00,29,0.0,11,14,3
Camargo,2025-06-02 06:00:00,32,0.0,21,9,3
Camargo,2025-06-02 06:00:00,35,0.0,21,13,2
Camargo,2025-06-02 06:00:00,38,0.0,13,17,1
Camargo,2025-06-02 06:00:00,41,0.0,8,16,2
Camargo,2025-06-02 06:00:00,44,0.0,4,15,3
Camargo,2025-06-02 06:00:00,47,0.0,4,17,3
Camargo,2025-06-02 06:00:00,50,0.0,8,19,3
Camargo,2025-06-02 06:00:00,53,0.0,13,14,3
Camargo,2025-06-02 06:00:00,56,0.0,22,8,4
Camargo,2025-06-02 06:00:00,59,0.0,22,10,3
Camargo,2025-06-02 06:00:00,62,0.0,12,12,3
Camargo,2025-06-02 06:00:00,65,0.0,7,14,3
Camargo,2025-06-02 06:00:00,68,0.0,3,15,4
Camargo,2025-06-02 06:00:00,71,0.0,2,17,3
Camargo,2025-06-02 06:00:00,74,0.0,8,19,3
Camargo,2025-06-02 06:00:00,77,0.0,11,16,3
Camargo,2025-06-02 06:00:00,80,0.0,20,12,2
Camargo,2025-06-02 06:00:00,83,0.0,21,42,3
Camargo,2025-06-02 06:00:00,86,0.0,8,72,3
Camargo,2025-06-02 06:00:00,89,0.0,2,80,2
Camargo,2025-06-02 06:00:00,92,0.0,3,87,2
