estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Anzaldo,2026-07-20 08:00:00,3,26.0,0.0,15.0,4.0,332.0
Anzaldo,2026-07-20 08:00:00,6,36.0,0.0,23.0,4.2,305.0
Anzaldo,2026-07-20 08:00:00,9,36.0,0.0,23.0,3.7,343.0
Anzaldo,2026-07-20 08:00:00,12,36.0,0.0,17.0,3.3,21.0
Anzaldo,2026-07-20 08:00:00,15,36.0,0.0,11.0,3.4,13.0
Anzaldo,2026-07-20 08:00:00,18,35.0,0.0,1.0,3.5,2.0
Anzaldo,2026-07-20 08:00:00,21,36.0,0.0,1.0,3.0,3.0
Anzaldo,2026-07-20 08:00:00,24,36.0,0.0,9.0,2.5,3.0
Anzaldo,2026-07-20 08:00:00,27,35.0,0.0,14.0,3.8,350.0
Anzaldo,2026-07-20 08:00:00,30,36.0,0.0,25.0,5.2,334.0
Anzaldo,2026-07-20 08:00:00,33,36.0,0.0,25.0,4.2,358.0
Anzaldo,2026-07-20 08:00:00,36,36.0,0.0,16.0,3.3,13.0
Anzaldo,2026-07-20 08:00:00,39,36.0,0.0,8.0,3.3,6.0
Anzaldo,2026-07-20 08:00:00,42,36.0,0.0,1.0,3.3,353.0
Anzaldo,2026-07-20 08:00:00,45,36.0,0.0,1.0,3.4,1.0
Anzaldo,2026-07-20 08:00:00,48,36.0,0.0,7.0,3.2,352.0
Anzaldo,2026-07-20 08:00:00,51,36.0,0.0,14.0,3.9,342.0
Anzaldo,2026-07-20 08:00:00,54,36.0,0.0,25.0,4.6,327.0
Anzaldo,2026-07-20 08:00:00,57,36.0,0.0,25.0,3.5,359.0
Anzaldo,2026-07-20 08:00:00,60,36.0,0.0,17.0,2.4,28.0
Anzaldo,2026-07-20 08:00:00,63,36.0,0.0,10.0,2.4,20.0
Anzaldo,2026-07-20 08:00:00,66,36.0,0.0,3.0,2.3,2.0
Anzaldo,2026-07-20 08:00:00,69,36.0,0.0,3.0,2.5,356.0
Anzaldo,2026-07-20 08:00:00,72,36.0,0.0,9.0,2.7,351.0
Anzaldo,2026-07-20 08:00:00,75,36.0,0.0,14.0,3.1,330.0
Anzaldo,2026-07-20 08:00:00,78,36.0,0.0,24.0,3.6,300.0
Anzaldo,2026-07-20 08:00:00,81,36.0,0.0,23.0,2.7,350.0
Anzaldo,2026-07-20 08:00:00,84,37.0,0.0,13.0,1.8,38.0
Anzaldo,2026-07-20 08:00:00,87,36.0,0.0,3.0,2.3,13.0
Anzaldo,2026-07-20 08:00:00,90,36.0,0.0,2.0,2.8,346.0
Anzaldo,2026-07-20 12:00:00,14,26.0,,,,
Anzaldo,2026-07-20 12:00:00,17,26.0,,,,
Anzaldo,2026-07-20 12:00:00,20,26.0,,,,
Anzaldo,2026-07-20 12:00:00,23,27.0,,,,
Anzaldo,2026-07-20 12:00:00,29,,,24.0,,
Anzaldo,2026-07-20 12:00:00,86,27.0,,,,
Anzaldo,2026-07-20 12:00:00,89,26.0,0.0,9.0,3.5,346.0
Anzaldo,2026-07-20 12:00:00,92,26.0,0.0,10.0,4.1,343.0
Anzaldo,2026-07-20 12:00:00,95,26.0,0.0,15.0,3.4,326.0
Anzaldo,2026-07-20 12:00:00,98,26.0,0.0,19.0,2.6,299.0
Anzaldo,2026-07-20 12:00:00,101,26.0,0.0,15.0,2.7,14.0
Anzaldo,2026-07-20 12:00:00,104,26.0,0.0,11.0,2.8,79.0
Anzaldo,2026-07-20 12:00:00,107,26.0,0.0,8.0,1.9,64.0
Anzaldo,2026-07-20 12:00:00,110,26.0,0.0,7.0,0.9,44.0
Apolo Chupiluzani,2026-07-20 08:00:00,3,89.0,1.5,22.0,2.1,349.0
Apolo Chupiluzani,2026-07-20 08:00:00,6,89.0,2.4,25.0,2.9,0.0
Apolo Chupiluzani,2026-07-20 08:00:00,9,89.0,1.3,25.0,2.2,5.0
Apolo Chupiluzani,2026-07-20 08:00:00,12,89.0,1.6,22.0,1.5,4.0
Apolo Chupiluzani,2026-07-20 08:00:00,15,89.0,1.5,19.0,1.4,355.0
Apolo Chupiluzani,2026-07-20 08:00:00,18,56.0,0.0,16.0,1.4,345.0
Apolo Chupiluzani,2026-07-20 08:00:00,21,57.0,0.0,16.0,1.2,345.0
Apolo Chupiluzani,2026-07-20 08:00:00,24,56.0,0.0,20.0,1.1,339.0
Apolo Chupiluzani,2026-07-20 08:00:00,27,56.0,0.0,23.0,2.0,353.0
Apolo Chupiluzani,2026-07-20 08:00:00,30,89.0,1.5,25.0,2.8,3.0
Apolo Chupiluzani,2026-07-20 08:00:00,33,89.0,1.9,25.0,2.1,2.0
Apolo Chupiluzani,2026-07-20 08:00:00,36,55.0,0.0,21.0,1.3,358.0
Apolo Chupiluzani,2026-07-20 08:00:00,39,56.0,0.0,17.0,1.4,355.0
Apolo Chupiluzani,2026-07-20 08:00:00,42,88.0,3.5,14.0,1.4,345.0
Apolo Chupiluzani,2026-07-20 08:00:00,45,89.0,3.6,14.0,1.4,339.0
Apolo Chupiluzani,2026-07-20 08:00:00,48,90.0,2.7,17.0,1.4,339.0
Apolo Chupiluzani,2026-07-20 08:00:00,51,89.0,1.4,20.0,2.5,349.0
Apolo Chupiluzani,2026-07-20 08:00:00,54,90.0,2.0,24.0,3.6,349.0
Apolo Chupiluzani,2026-07-20 08:00:00,57,89.0,2.1,24.0,2.5,358.0
Apolo Chupiluzani,2026-07-20 08:00:00,60,57.0,0.0,21.0,1.2,4.0
Apolo Chupiluzani,2026-07-20 08:00:00,63,56.0,0.0,17.0,1.2,348.0
Apolo Chupiluzani,2026-07-20 08:00:00,66,89.0,1.9,14.0,1.2,328.0
Apolo Chupiluzani,2026-07-20 08:00:00,69,89.0,2.0,14.0,1.2,346.0
Apolo Chupiluzani,2026-07-20 08:00:00,72,89.0,1.6,17.0,1.2,353.0
Apolo Chupiluzani,2026-07-20 08:00:00,75,89.0,1.4,20.0,1.6,8.0
Apolo Chupiluzani,2026-07-20 08:00:00,78,89.0,2.6,24.0,2.1,15.0
Apolo Chupiluzani,2026-07-20 08:00:00,81,90.0,1.1,24.0,1.5,20.0
Apolo Chupiluzani,2026-07-20 08:00:00,84,56.0,0.0,18.0,0.8,15.0
Apolo Chupiluzani,2026-07-20 08:00:00,87,56.0,0.0,14.0,0.8,13.0
Apolo Chupiluzani,2026-07-20 08:00:00,90,56.0,0.0,14.0,0.8,10.0
Apolo Chupiluzani,2026-07-20 12:00:00,14,,,17.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,17,,,17.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,26,,,24.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,29,,,24.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,32,90.0,1.4,,,
Apolo Chupiluzani,2026-07-20 12:00:00,35,89.0,1.6,19.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,38,,,17.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,41,,,17.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,44,,,19.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,47,,,21.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,59,,,19.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,62,,,16.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,65,,,16.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,68,,,19.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,71,,,21.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,74,,,23.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,77,,,23.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,80,,,21.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,83,,,17.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,86,57.0,,16.0,,
Apolo Chupiluzani,2026-07-20 12:00:00,89,56.0,0.0,16.0,1.0,325.0
Apolo Chupiluzani,2026-07-20 12:00:00,92,56.0,0.0,19.0,1.0,310.0
Apolo Chupiluzani,2026-07-20 12:00:00,95,55.0,0.0,21.0,1.9,337.0
Apolo Chupiluzani,2026-07-20 12:00:00,98,76.0,1.3,23.0,2.9,1.0
Apolo Chupiluzani,2026-07-20 12:00:00,101,76.0,1.3,23.0,2.1,9.0
Apolo Chupiluzani,2026-07-20 12:00:00,104,36.0,0.0,20.0,1.3,14.0
Apolo Chupiluzani,2026-07-20 12:00:00,107,36.0,0.0,17.0,1.1,6.0
Apolo Chupiluzani,2026-07-20 12:00:00,110,26.0,0.0,17.0,0.9,355.0
Ascencion de Guarayos,2026-07-20 08:00:00,3,36.0,0.0,30.0,2.9,330.0
Ascencion de Guarayos,2026-07-20 08:00:00,6,36.0,0.0,33.0,3.1,320.0
Ascencion de Guarayos,2026-07-20 08:00:00,9,36.0,0.0,33.0,2.2,310.0
Ascencion de Guarayos,2026-07-20 08:00:00,12,36.0,0.0,30.0,1.2,291.0
Ascencion de Guarayos,2026-07-20 08:00:00,15,36.0,0.0,27.0,1.4,321.0
Ascencion de Guarayos,2026-07-20 08:00:00,18,36.0,0.0,23.0,1.4,350.0
Ascencion de Guarayos,2026-07-20 08:00:00,21,36.0,0.0,23.0,1.4,350.0
Ascencion de Guarayos,2026-07-20 08:00:00,24,37.0,0.0,25.0,1.6,0.0
Ascencion de Guarayos,2026-07-20 08:00:00,27,36.0,0.0,28.0,2.2,346.0
Ascencion de Guarayos,2026-07-20 08:00:00,30,56.0,0.0,34.0,2.8,326.0
Ascencion de Guarayos,2026-07-20 08:00:00,33,56.0,0.0,34.0,2.2,360.0
Ascencion de Guarayos,2026-07-20 08:00:00,36,56.0,0.0,29.0,1.7,24.0
Ascencion de Guarayos,2026-07-20 08:00:00,39,56.0,0.0,25.0,1.4,5.0
Ascencion de Guarayos,2026-07-20 08:00:00,42,36.0,0.0,22.0,1.1,341.0
Ascencion de Guarayos,2026-07-20 08:00:00,45,36.0,0.0,22.0,1.2,360.0
Ascencion de Guarayos,2026-07-20 08:00:00,48,35.0,0.0,25.0,1.4,356.0
Ascencion de Guarayos,2026-07-20 08:00:00,51,36.0,0.0,30.0,2.5,340.0
Ascencion de Guarayos,2026-07-20 08:00:00,54,57.0,0.0,33.0,3.6,320.0
Ascencion de Guarayos,2026-07-20 08:00:00,57,56.0,0.0,33.0,2.3,310.0
Ascencion de Guarayos,2026-07-20 08:00:00,60,57.0,0.0,27.0,1.0,296.0
Ascencion de Guarayos,2026-07-20 08:00:00,63,56.0,0.0,24.0,0.9,236.0
Ascencion de Guarayos,2026-07-20 08:00:00,66,57.0,0.0,19.0,0.9,171.0
Ascencion de Guarayos,2026-07-20 08:00:00,69,56.0,0.0,19.0,2.6,160.0
Ascencion de Guarayos,2026-07-20 08:00:00,72,55.0,0.0,23.0,2.5,144.0
Ascencion de Guarayos,2026-07-20 08:00:00,75,56.0,0.0,26.0,2.4,160.0
Ascencion de Guarayos,2026-07-20 08:00:00,78,56.0,0.0,30.0,2.2,175.0
Ascencion de Guarayos,2026-07-20 08:00:00,81,56.0,0.0,30.0,2.3,180.0
Ascencion de Guarayos,2026-07-20 08:00:00,84,56.0,0.0,24.0,2.4,185.0
Ascencion de Guarayos,2026-07-20 08:00:00,87,55.0,0.0,19.0,2.1,180.0
Ascencion de Guarayos,2026-07-20 08:00:00,90,56.0,0.0,19.0,1.8,170.0
