estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Anzaldo,2026-09-07 11:00:00,3,0.0,23,56,302,2.0
Anzaldo,2026-09-07 11:00:00,6,0.0,23,56,13,1.9
Anzaldo,2026-09-07 11:00:00,9,0.0,17,36,81,1.8
Anzaldo,2026-09-07 11:00:00,12,0.0,13,36,33,2.2
Anzaldo,2026-09-07 11:00:00,15,0.0,8,57,344,2.6
Anzaldo,2026-09-07 11:00:00,18,0.0,8,57,342,3.3
Anzaldo,2026-09-07 11:00:00,21,0.0,12,56,338,3.3
Anzaldo,2026-09-07 11:00:00,24,0.0,16,56,338,4.2
Anzaldo,2026-09-07 11:00:00,27,1.7,22,76,328,5.0
Anzaldo,2026-09-07 11:00:00,30,1.3,22,76,288,3.5
Anzaldo,2026-09-07 11:00:00,33,0.0,16,57,247,1.9
Anzaldo,2026-09-07 11:00:00,36,0.0,13,57,298,2.4
Anzaldo,2026-09-07 11:00:00,39,0.0,8,56,341,2.9
Anzaldo,2026-09-07 11:00:00,42,0.0,8,36,351,3.0
Anzaldo,2026-09-07 11:00:00,45,0.0,12,36,348,2.9
Anzaldo,2026-09-07 11:00:00,48,0.0,17,36,338,3.3
Anzaldo,2026-09-07 11:00:00,51,1.4,23,76,324,3.6
Anzaldo,2026-09-07 11:00:00,54,1.8,23,76,355,3.3
Anzaldo,2026-09-07 11:00:00,57,0.0,16,36,18,2.9
Anzaldo,2026-09-07 11:00:00,60,0.0,12,36,6,2.9
Anzaldo,2026-09-07 11:00:00,63,0.0,9,56,351,2.8
Anzaldo,2026-09-07 11:00:00,66,0.0,9,57,318,3.1
Anzaldo,2026-09-07 11:00:00,69,0.0,12,56,348,4.1
Anzaldo,2026-09-07 11:00:00,72,0.0,14,56,353,5.1
Anzaldo,2026-09-07 11:00:00,75,1.8,23,76,356,6.2
Anzaldo,2026-09-07 11:00:00,78,1.5,22,76,352,4.3
Anzaldo,2026-09-07 11:00:00,81,0.0,13,56,340,2.4
Anzaldo,2026-09-07 11:00:00,84,0.0,10,56,350,3.2
Anzaldo,2026-09-07 11:00:00,87,0.0,9,27,352,4.0
Anzaldo,2026-09-07 11:00:00,90,0.0,10,26,352,3.6
Anzaldo,2026-09-07 11:00:00,93,0.0,11,27,342,3.4
Anzaldo,2026-09-07 11:00:00,96,0.0,15,26,334,4.0
Anzaldo,2026-09-07 11:00:00,99,0.0,19,36,324,4.5
Anzaldo,2026-09-07 11:00:00,102,0.0,17,36,355,3.6
Anzaldo,2026-09-07 11:00:00,105,0.0,14,26,22,2.7
Anzaldo,2026-09-07 11:00:00,108,0.0,12,25,32,2.1
Anzaldo,2026-09-07 11:00:00,111,0.0,10,25,38,1.5
Apolo Chupiluzani,2026-09-07 11:00:00,3,0.0,26,56,11,1.3
Apolo Chupiluzani,2026-09-07 11:00:00,6,0.0,26,56,46,1.0
Apolo Chupiluzani,2026-09-07 11:00:00,9,0.0,23,37,82,0.5
Apolo Chupiluzani,2026-09-07 11:00:00,12,0.0,20,36,18,0.7
Apolo Chupiluzani,2026-09-07 11:00:00,15,0.0,11,36,315,0.9
Apolo Chupiluzani,2026-09-07 11:00:00,18,0.0,11,36,339,0.8
Apolo Chupiluzani,2026-09-07 11:00:00,21,0.0,18,36,340,0.5
