fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1958-01-01,Trinidad Aeropuerto,31.0,22.2,82.0,82.0,6.7
1958-01-01,Rurrenabaque Aeropuerto,32.1,22.2,,,
1958-01-01,Charaña,,-1.0,47.0,47.0,
1958-01-01,Padilla,,,,,0.3
1958-01-01,Tarabuco,16.7,8.9,,,3.0
1958-01-01,Villa Serrano,,,,,0.5
1958-01-01,Yotala,,,,,4.0
1958-01-01,Apolo SENAMHI,24.0,16.9,,,
1958-01-01,Copacabana,15.0,3.5,100.0,72.0,18.0
1958-01-01,Calacoto,,,,,15.2
1958-01-01,San Calixto,17.0,7.5,96.0,35.0,4.5
1958-01-01,Calamarca,16.0,6.0,,,2.0
1958-01-01,Peñas,,,,,6.2
1958-01-01,Sica Sica,16.5,7.0,,,
1958-01-01,Concepcion Aeropuerto SCZ,33.0,20.0,,,
1958-01-01,Tarija Aeropuerto,,,,,6.2
1958-01-01,Yacuiba Aeropuerto,,,,,72.0
1958-01-01,Arani,29.0,12.0,,,
1958-01-01,Capinota,24.0,17.0,,,
1958-01-01,Tarata,22.0,13.0,,,
1958-01-01,Tiraque,21.0,10.0,,,
1958-01-01,Totora_CBBA,20.0,11.0,,,
1958-01-01,Patacamaya ,23.0,8.0,,,8.3
1958-01-01,Roboré Aeropuerto,32.0,22.0,,,1.0
1958-01-01,San Ignacio de Velasco Aerop,32.6,21.0,,,
1958-01-01,Vallegrande Aeropuerto,,,78.0,78.0,21.3
1958-01-01,Sorata,22.5,17.0,,,6.0
1958-01-01,Mizque,29.0,20.0,,,
1958-01-01,Alcoche,29.8,21.3,,,
1958-01-01,Tiquina,18.0,7.0,,,
1958-01-01,Colquiri,23.0,-1.0,,,5.5
1958-01-01,Sucre SENAMHI,22.9,12.8,90.0,64.0,10.1
1958-01-01,Ravelo,,,,,8.0
1958-01-01,Turuchipa,27.3,18.3,,,3.0
1958-01-01,Guaqui,9.8,5.2,,,3.6
1958-01-01,Trompillo Aeropuerto,27.4,21.4,,,0.1
1958-01-01,Albosa,27.5,24.0,,,
1958-01-01,Cliza,25.0,13.0,,,
1958-01-01,Corani Represa,,,,,3.6
1958-01-01,Pocona,22.0,12.0,,,8.0
1958-01-01,La Belgica,,,,,5.0
1958-01-01,La Angostura,24.0,13.0,,,
1958-01-01,Ayo Ayo,20.0,7.0,,,2.0
1958-01-01,Sucre Aeropuerto,20.0,11.0,,,
1958-01-01,San Jose de Chiquitos Aerop,29.2,22.0,,,2.0
1958-01-01,Bermejo Aeropuerto,30.0,22.0,,,8.0
1958-01-01,Laykacota,18.0,8.0,,,4.5
1958-01-01,Chuquiña,,,,,4.6
1958-01-01,Oruro Aeropuerto,20.4,5.0,,,
1958-01-01,Potosi Los Pinos,15.0,6.0,93.0,60.0,
1958-01-01,Yocalla,24.0,10.0,,,7.5
1958-01-01,San Joaquin Aeropuerto,33.5,20.0,,,25.0
1958-01-01,Riberalta Aeropuerto,32.8,21.4,87.0,87.0,
1958-01-01,El Alto Aeropuerto,,3.2,75.0,75.0,2.8
1958-01-01,Camiri Aeropuerto,,,,,7.0
1958-01-01,Cochabamba Aeropuerto,27.0,11.0,,,
1958-01-01,Cobija Aeropuerto,,,89.0,89.0,2.0
1958-01-01,Salinas G. De Mendoza,23.3,4.4,,,
1958-01-01,Puna,19.0,,,,
1958-01-01,Pocoata,,,,,20.0
1958-01-01,Tupiza,,,66.0,64.0,3.0
1958-01-01,Villazon,,,,,2.0
1958-01-01,Guayaramerin Aeropuerto,32.8,,,,
1958-01-02,Trinidad Aeropuerto,30.2,22.0,85.0,85.0,37.1
1958-01-02,Rurrenabaque Aeropuerto,32.1,22.0,,,6.8
1958-01-02,San Borja Aeropuerto,,,,,21.1
1958-01-02,Charaña,,-1.0,56.0,56.0,
1958-01-02,Tarabuco,16.7,8.9,,,3.2
1958-01-02,Villa Serrano,,,,,4.0
1958-01-02,Apolo SENAMHI,23.3,17.2,,,0.7
1958-01-02,Copacabana,14.5,2.5,100.0,92.0,4.0
1958-01-02,Calacoto,,,,,1.5
1958-01-02,San Calixto,15.0,6.0,86.0,49.0,4.0
1958-01-02,Calamarca,15.0,6.0,,,
1958-01-02,Peñas,,,,,12.5
1958-01-02,Sica Sica,17.4,7.5,,,
1958-01-02,Concepcion Aeropuerto SCZ,32.0,20.0,,,15.2
1958-01-02,Arani,28.0,10.0,,,10.0
1958-01-02,Capinota,22.0,19.0,,,5.0
1958-01-02,Tarata,24.0,13.0,,,3.0
1958-01-02,Tiraque,23.0,8.0,,,
1958-01-02,Totora_CBBA,21.6,10.7,,,4.0
1958-01-02,Patacamaya ,23.0,8.0,,,2.5
1958-01-02,Cotoca,,,,,1.0
1958-01-02,Roboré Aeropuerto,33.1,23.0,,,1.0
1958-01-02,San Ignacio de Velasco Aerop,32.9,21.0,,,
1958-01-02,Vallegrande Aeropuerto,,,70.0,70.0,3.9
1958-01-02,Sorata,21.0,,,,
1958-01-02,Mizque,28.0,21.0,,,
1958-01-02,Alcoche,26.0,22.3,,,13.6
1958-01-02,Tiquina,19.0,7.0,,,8.2
1958-01-02,Colquiri,23.0,-4.0,,,14.0
1958-01-02,Sucre SENAMHI,22.0,12.0,80.0,60.0,2.8
1958-01-02,Ravelo,,,,,4.0
1958-01-02,Turuchipa,29.5,20.5,,,
1958-01-02,Chorety,,,,,2.5
1958-01-02,Guaqui,13.5,3.6,,,
1958-01-02,Trompillo Aeropuerto,27.0,22.0,,,1.0
1958-01-02,Albosa,28.0,23.8,,,3.0
1958-01-02,Cliza,25.0,12.0,,,
1958-01-02,Corani Represa,,,,,50.0
1958-01-02,Chacaltaya,2.5,-6.5,98.0,95.0,
1958-01-02,Pocona,25.0,12.0,,,11.0
1958-01-02,La Angostura,23.0,10.0,,,7.0
1958-01-02,Ayo Ayo,19.0,6.0,,,9.0
1958-01-02,Sucre Aeropuerto,20.8,10.0,,,7.0
1958-01-02,Apolo Aeropuerto,,,,,4.7
1958-01-02,San Jose de Chiquitos Aerop,30.0,22.4,,,
1958-01-02,Bermejo Aeropuerto,32.0,22.0,,,3.5
1958-01-02,Laykacota,16.0,6.5,,,2.0
1958-01-02,Chuquiña,,,,,8.0
1958-01-02,Oruro Aeropuerto,20.1,6.0,,,13.0
1958-01-02,Potosi Los Pinos,14.0,7.0,89.0,68.0,25.2
1958-01-02,Mojo,,,,,20.0
1958-01-02,Yocalla,24.0,9.0,,,15.0
1958-01-02,San Joaquin Aeropuerto,,21.2,,,18.0
1958-01-02,Santa Ana del Yacuma Aerop,,,,,55.1
1958-01-02,Riberalta Aeropuerto,35.0,22.3,83.0,83.0,25.1
1958-01-02,El Alto Aeropuerto,,4.2,79.0,79.0,
1958-01-02,Camiri Aeropuerto,,,,,7.0
1958-01-02,Cochabamba Aeropuerto,24.0,12.0,,,
1958-01-02,Cobija Aeropuerto,,,86.0,86.0,28.0
1958-01-02,Pazña,,,,,4.0
1958-01-02,Salinas G. De Mendoza,21.1,4.4,,,
1958-01-02,Puna,20.0,,,,2.0
1958-01-02,Tupiza,,,62.0,54.0,
1958-01-02,Villazon,,,,,7.0
1958-01-02,Guayaramerin Aeropuerto,35.0,,,,
1958-01-03,Trinidad Aeropuerto,30.0,22.2,95.0,95.0,26.1
1958-01-03,Rurrenabaque Aeropuerto,26.8,22.2,,,
1958-01-03,Charaña,,-1.0,55.0,55.0,
1958-01-03,Tarabuco,20.0,7.8,,,1.2
1958-01-03,Yotala,,,,,1.0
1958-01-03,Apolo SENAMHI,21.9,17.8,,,1.6
1958-01-03,Copacabana,13.5,3.0,100.0,78.0,
1958-01-03,Chulumani,,,,,3.4
1958-01-03,San Calixto,17.0,6.0,90.0,45.0,10.5
1958-01-03,Calamarca,14.0,4.5,,,
1958-01-03,Peñas,,,,,10.5
1958-01-03,Sica Sica,16.4,6.5,,,
1958-01-03,Concepcion Aeropuerto SCZ,32.1,20.0,,,3.5
1958-01-03,Tarija Aeropuerto,,,,,4.0
1958-01-03,Arani,28.0,12.0,,,14.0
1958-01-03,Capinota,22.5,19.0,,,16.7
1958-01-03,Tarata,20.5,14.0,,,12.0
1958-01-03,Tiraque,24.0,11.0,,,
1958-01-03,Totora_CBBA,22.5,11.0,,,17.0
1958-01-03,Patacamaya ,22.0,6.0,,,3.4
1958-01-03,Cotoca,,,,,1.0
1958-01-03,San Ignacio de Velasco Aerop,31.2,20.9,,,20.6
1958-01-03,Vallegrande Aeropuerto,,,70.0,70.0,
1958-01-03,Sorata,23.1,12.4,,,
1958-01-03,Mizque,27.0,20.0,,,
1958-01-03,Alcoche,29.0,21.6,,,2.5
1958-01-03,Tiquina,19.0,6.0,,,
1958-01-03,Colquiri,23.0,-3.0,,,
1958-01-03,Sucre SENAMHI,22.3,11.7,100.0,44.0,1.7
1958-01-03,Ravelo,,,,,5.0
1958-01-03,Turuchipa,28.3,19.3,,,
1958-01-03,Chorety,,,,,17.8
1958-01-03,Guaqui,11.2,6.4,,,4.5
1958-01-03,Trompillo Aeropuerto,27.4,21.9,,,2.0
1958-01-03,Albosa,28.3,22.0,,,11.0
1958-01-03,Cliza,26.0,12.5,,,
1958-01-03,Corani Represa,,,,,26.0
1958-01-03,Chacaltaya,1.0,-7.0,95.0,94.0,1.5
1958-01-03,Pocona,25.0,13.0,,,6.0
1958-01-03,La Belgica,,,,,6.5
1958-01-03,La Angostura,26.0,12.5,,,7.0
1958-01-03,Ayo Ayo,18.0,9.0,,,
1958-01-03,Sucre Aeropuerto,,11.0,,,1.0
1958-01-03,Apolo Aeropuerto,,,,,13.0
1958-01-03,San Jose de Chiquitos Aerop,29.3,22.0,,,2.0
1958-01-03,Bermejo Aeropuerto,30.0,22.0,,,26.5
1958-01-03,Laykacota,18.0,6.0,,,
1958-01-03,Chuquiña,,,,,2.0
1958-01-03,Oruro Aeropuerto,20.0,5.0,,,5.0
1958-01-03,Potosi Los Pinos,12.5,4.5,92.0,84.0,8.3
1958-01-03,Yocalla,23.0,10.3,,,19.0
1958-01-03,San Joaquin Aeropuerto,34.5,21.2,,,20.4
1958-01-03,Santa Ana del Yacuma Aerop,,,,,4.9
1958-01-03,Riberalta Aeropuerto,32.2,23.4,75.0,75.0,
