id,code,station,active,stationType,nameDepartment,nameProvince,nameMunicipality,nameBasin,macroregion,latitude,longitude,altitude,owner,start,operator,photo,stationCategory,status
1053,A-1769,Catacora,True,Convencional,La Paz,General José Manue*,Catacora,Rio Cusicusini,Altiplano,-17.1586,-69.4864,4253.0,SENAMHI,1992-08-31,SENAMHI,stations/station/no1oklcp5y6iv5r.jpeg,Meteorológica,Activo
872,A-1668,Radiosondeo - El Alto,False,Convencional,La Paz,Murillo,El Alto,RioTujsa Jahuira,Altiplano,-16.505422,-68.171876,4092.0,SENAMHI,2017-11-27,FAB,,Meteorológica,Inactivo
1052,A-1569,Carabuco,True,Convencional,La Paz,Camacho,Puerto Mayor de Carabuco,Naciente del Rio Calahuancani,Altiplano,-15.758448,-69.06498,3826.0,SENAMHI,1991-06-26,SENAMHI,stations/station/7noz6gsc496k5nz.jpeg,Meteorológica,Activo
988,A-1866,Sacaca,True,Convencional,Potosí,Alonso de Ibáñez,Sacaca,Rio Caine,Altiplano,-18.073096,-66.380663,3722.0,SENAMHI,1977-10-28,SENAMHI,stations/station/49cxd6a4x3f6rtn.png,Meteorológica,Activo
1272,A-1667,Palca_LP,True,Convencional,La Paz,Murillo,Palca,Rio Boopy,Valles,-16.560556,-67.951389,3333.0,SENAMHI,1972-09-30,SENAMHI,stations/station/v9jy1yf0p6dq5va.jpeg,Meteorológica,Activo
1273,A-1568,Sorata,True,Convencional,La Paz,Larecaja,Sorata,Rio Kaka,Yungas - Chapare,-15.766667,-68.651667,2647.0,SENAMHI,1943-02-28,SENAMHI,stations/station/fp0wv871s5ydnug.jpeg,Meteorológica,Activo
1828,23-00078,Molino Pampa_H,True,Convencional,Potosí,José María Linares,Puna,Rio Jilche,Valles,-20.070278,-65.337972,3292.0,SENAMHI,2023-01-22,SENAMHI,stations/station/vrkl9qurkrer15s.jpeg,Hidrológica,Mantenimiento
1666,A-1767,Conchamarca (EuroClima),True,Convencional,La Paz,Aroma,Sica Sica,Rio Toloma,Altiplano,-17.383134,-67.462682,3960.0,HELVETAS,2019-11-26,Municipio - SENAMHI,stations/station/5ebap4yf2jam05i.jpeg,Meteorológica,Activo
1496,A-1567,Santa Rita de Bs. As.,False,Convencional,La Paz,Larecaja,Teoponte,Rio Kaka,Yungas - Chapare,-15.692222,-67.690833,550.0,SENAMHI,2005-04-29,SENAMHI,,Meteorológica,Mantenimiento
1148,A-1865,Aiquile,False,Convencional,Cochabamba,Abaroa,Aiquile,Rio Mizque,Valles,-18.203333,-65.178056,2255.0,,1943-05-01,,,,Inactivo
1082,A-1668,Alto Obrajes_Barrio Magisterio,True,Convencional,La Paz,Murillo,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.522952,-68.100913,3480.0,SENAMHI,2000-12-29,SENAMHI,,Meteorológica,Activo
946,A-2164,Cañas,True,Convencional,Tarija,Arce,Padcaya,Rio Camacho,Valles,-21.9022,-64.850889,2078.0,SENAMHI,1977-03-29,SENAMHI,stations/station/01rubqmds2beyqh.jpeg,Meteorológica,Activo
129,A-2165,Lajas HCA (GPRS),True,Automática,Tarija,Méndez,Villa San Lorenzo,Rio Guadalquivir,Valles,-21.3822,-64.746399,2030.0,,,,,Meteorológica,Activo
1109,A-1668,Mecapaca,True,Convencional,La Paz,Murillo,Mecapaca,Rio Boopy,Valles,-16.6676855,-68.0170478,2680.0,SENAMHI,1975-05-27,SENAMHI,stations/station/zrwlj07tf5dadhz.jpeg,Meteorológica,Activo
454,A-1767,Facultad de Agronomia UTO,False,Convencional,Oruro,Cercado Oruro,Oruro,Crucero Belen,Altiplano,-17.996111,-67.138933,3695.0,SENAMHI,1995-06-27,SENAMHI,stations/station/4j1r7qev4z33dfv.png,Meteorológica,Inactivo
80,A-1863,El Trompillo,True,Automática,Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Parte Baja del Rio Guapay,Chiquitania,-17.805034,-63.178117,413.0,,2004-12-30,,,Meteorológica,Activo
91,A-1165,Guayaramerin BN,False,Automática,Beni,Vaca Diez,Guayaramerín,Rio Guayanamerin,Amazonia,-10.822652,-65.345274,129.0,,,,stations/station/8iou9o4g3ourtdq.png,Meteorológica,Inactivo
1010,A-1964,Padilla,True,Convencional,Chuquisaca,Tomina,Padilla,Rio Azero,Valles,-19.302222,-64.302222,2102.0,,1943-06-30,,,Meteorológica,Activo
1664,A-2164,Santa Ana la Nueva-Aranjuez,True,Convencional,Tarija,Cercado Tarija,Tarija,Rio Santa Ana,Valles,-21.578333,-64.632778,1864.0,Particular,2018-12-30,,,Meteorológica,Mantenimiento
1188,A-2164,Juntas,True,Convencional,Tarija,Avilés,Uriondo,Rio Camacho,Valles,-21.810167,-64.797876,1882.0,SENAMHI,1975-03-28,SENAMHI,stations/station/ydavnjc8abiwbaf.png,Meteorológica,Activo
1451,A-1765,Alalay,False,Convencional,Cochabamba,Sara,Alalay,Rio Mizque,Valles,-17.75,-65.683333,3320.0,,1974-04-01,,,,Inactivo
600,A-1766,Arbieto Aut,False,Convencional,Cochabamba,Abuná,Arbieto,Rio Caine,Valles,-17.587778,-66.012222,2800.0,,2012-06-01,,,,Inactivo
482,A-2064,Arpaja Alta,False,Convencional,Chuquisaca,Angel Sandoval,Villa Charcas,Rio Terrodo,Valles,-20.676944,-64.948056,3061.0,,1993-11-01,,,,Inactivo
821,A-1766,Arque_ENFE,False,Convencional,Cochabamba,Andrés Ibáñez,Arque,Rio Caine,Valles,-17.821944,-66.403333,2735.0,,1968-01-01,,,,Inactivo
1230,A-1964,Arquillos,False,Convencional,Chuquisaca,Abuná,Padilla,Rio Azero,Valles,-19.246389,-64.378333,2120.0,,1977-04-01,,,,Inactivo
1260,A-1468,Aten,False,Convencional,La Paz,Angel Sandoval,Apolo,Rio Kaka,Yungas - Chapare,-14.916667,-68.383333,1460.0,,1975-08-01,,,,Inactivo
205,00014,PresaWaraWara_EHM (SAT),True,Satelital,Cochabamba,Cercado Cochabamba,Cochabamba,Rio Caine,Valles,-17.29758,-66.125327,4094.0,Servicio Departamental de Cuencas,,,stations/station/s9iu0pqn84ll2mh.jpeg,Meteorológica,Activo
1798,00048,Puente Villa - Tamampaya_H,True,Convencional,La Paz,Nor Yungas,Coripata,Rio Boopy,Yungas - Chapare,-16.3969,-67.6336,1500.0,SENAMHI,1972-11-26,SENAMHI,stations/station/iyjlusu6w3rrpot.png,Hidrológica,Mantenimiento
1563,A-2264,Arrozales - Bermejo,False,Convencional,Tarija,Arce,Bermejo,Desembocadura de Rio Grande de Tarija,Valles,-22.7125,-64.291389,384.0,,1972-12-31,,,Meteorológica,Inactivo
1231,A-2064,Azurduy,True,Convencional,Chuquisaca,Azurduy,Azurduy,Rio parapeti,Valles,-20.100556,-64.41,2530.0,SENAMHI,1972-08-31,SENAMHI,,Meteorológica,Activo
1815,00065,Isla del Sol_H,True,Convencional,,,Salar de Uyuni,Sin Nombre,Altiplano,-16.041045,-69.153566,,SENAMHI,1992-12-01,SENAMHI,,Hidrológica,Activo
1265,A-1863,Abapo,True,Convencional,Santa Cruz,Cordillera,Gutiérrez,Parte Baja del Rio Guapay,Chaco,-18.919833,-63.404279,440.0,SENAMHI,1975-06-28,SENAMHI,,Meteorológica,Activo
1146,A-2164,Yesera Norte,True,Convencional,Tarija,Cercado Tarija,Tarija,Rio Santa Ana,Valles,-21.372222,-64.550833,2267.0,SENAMHI,1976-12-31,SENAMHI,,Meteorológica,Activo
1292,A-1865,Quiroga,False,Convencional,Cochabamba,Campero,Aiquile,Parte alta del Rio grande 7,Valles,-18.425,-65.217778,2530.0,SENAMHI,1973-05-30,SENAMHI,stations/station/4s0iwillml963j3.png,,Inactivo
473,A-1667,Arapata,False,Convencional,La Paz,Arani,Palca,Rio Boopy,Valles,-16.783333,-67.7,880.0,,1979-08-01,,,,Inactivo
1382,A-1568,Tarani (Tintilaya)_h,False,Convencional,La Paz,Larecaja,Tipuani,Rio Kaka,Yungas - Chapare,-15.583333,-68.166667,3819.0,,1977-10-31,,,Hidrológica,Inactivo
1062,A-1669,Isla Del Sol,True,Convencional,La Paz,Manco Kapac,Copacabana,Sin Nombre,Altiplano,-16.036667,-69.148333,3976.0,SENAMHI,1975-07-30,SENAMHI,stations/station/yazpc7001ogzry5.jpeg,Meteorológica,Activo
